name,school,birth,mail,photo,logoUniv,nationality
Maxence Duffuler,EPF,01/02/2000,maxence.duffuler@epfedu.fr,/photo_Maxence.jpg,/logoEPF.png,French
Gordon Turcotte,University of London,08/11/1997, gordon.turcotte@ulondon.en,/photo_Gordon.jpg,/logoLondon.png,English
Rachel Terry, University of Harvard,25/03/1998, rachel.terry@uharvard.us,/photo_Rachel.jpg,/logoHarvard.png,American
Robert Ritchie, University of Houston,13/07/1999, robert.ritchie@uhouston.us,/photo_Robert.jpg,/logoHouston.png,American
Delores McLaughlin, University of Glasgow,02/08/1997, delores.mclaughlin@uglasgow.sc,/photo_Delores.jpg,/logoGlasgow.png,Scottish
Maryann Stiedemann, University of Berlin,28/02/2001, maryann.stiedemann@uberlin.ge,/photo_Maryann.jpg,/logoBerlin.png,German
Phillip Macejkovic, University of Maribor,13/12/2000, phillip.macejkovic@umaribor.sl,/photo_Phillip.jpg,/logoMaribor.png,Slovenian
Everett Beier, University of Munich,30/01/1999, everett.beier@umunich.ge,/photo_Everett.jpg,/logoMunich.png,German
Kent Robel, University of Manchester,27/04/2001, kent.robel@umanchester.en,/photo_Kent.jpg,/logoManchester.png,English
Gerard Nicolas, Centrale-Supelec,18/07/2000, gerard.nicolas@centrale.fr,/photo_Gerard.jpg,/logoCentrale.png,French
