name,school,birth,nationality,mail,photo,logoUniv
Maxence Duffuler,EPF,01/02/2000,French, maxence.duffuler@epfedu.fr,/photo_Maxence.jpg,/logoEPF.png
Gordon Turcotte,University of London,08/11/1997,English, gordon.turcotte@ulondon.en,/photo_Gordon.jpg,/logoLondon.png
Rachel Terry, University of Harvard,25/03/1998,American, rachel.terry@uharvard.us,/photo_Rachel.jpg,/logoHarvard.png
Robert Ritchie, University of Houston,13/07/1999,American, robert.ritchie@uhouston.us,/photo_Robert.jpg,/logoHouston.png
Delores McLaughlin, University of Glasgow,02/08/1997,Scottish, delores.mclaughlin@uglasgow.sc,/photo_Delores.jpg,/logoGlasgow.png
Maryann Stiedemann, University of Berlin,28/02/2001,German, maryann.stiedemann@uberlin.ge,/photo_Maryann.jpg,/logoBerlin.png
Phillip Macejkovic, University of Maribor,13/12/2000,Slovenian, phillip.macejkovic@umaribor.sl,/photo_Phillip.jpg,/logoMaribor.png
Everett Beier, University of Munich,30/01/1999,German, everett.beier@umunich.ge,/photo_Everett.jpg,/logoMunich.png
Kent Robel, University of Manchester,27/04/2001,English, kent.robel@umanchester.en,/photo_Kent.jpg,/logoManchester.png
Gerard Nicolas, Centrale-Supelec,18/07/2000,French, gerard.nicolas@centrale.fr,/photo_Gerard.jpg,/logoCentrale.png
